,patent_year,patent_firstnamed_assignee_latitude,patent_firstnamed_assignee_longitude,patent_firstnamed_inventor_latitude,patent_firstnamed_inventor_longitude,patent_num_cited_by_us_patents,patent_num_combined_citations,patent_num_foreign_citations,patent_num_us_application_citations,patent_num_us_patent_citations,patent_num_claims,detail_desc_length,patent_processing_time,patent_average_processing_time
156,2019,37.3362,-121.891,51.2356,-0.573206,1,9,0,5,4,20,64896.0,671,828.0
157,2019,40.7127,-74.006,40.7127,-74.006,1,10,1,4,5,20,22553.0,1240,1153.0
158,2019,41.1265,-73.714,-22.911,-43.2094,4,4,0,2,2,17,38934.0,979,996.0
159,2019,37.3362,-121.891,37.3541,-121.955,4,9,1,6,2,7,57813.0,1618,1227.0
160,2019,47.3176,8.58309,47.2704,8.64122,8,14,0,9,5,24,92871.0,368,1240.0
161,2019,41.1265,-73.714,47.686,-122.192,3,10,0,7,3,20,74914.0,354,867.0
162,2019,37.3894,-122.083,37.3688,-122.036,3,16,0,9,7,20,33178.0,270,898.0
163,2019,47.6038,-122.33,47.6144,-122.192,55,244,0,157,87,17,127830.0,1537,1059.0
164,2019,41.1265,-73.714,37.3362,-121.891,2,16,1,15,0,20,54831.0,1155,996.0
165,2019,37.452,-122.178,37.5483,-121.989,8,22,0,21,1,20,53165.0,1278,1291.0
166,2019,41.1265,-73.714,38.9959,-77.0276,0,29,5,8,16,20,41496.0,1240,1291.0
167,2019,33.9562,-118.353,34.0195,-118.491,13,16,2,9,5,19,135535.0,664,1082.0
168,2019,33.6857,-117.826,33.6857,-117.826,3,71,1,48,22,33,20706.0,1502,1034.0
169,2019,38.9343,-77.1776,30.5955,-96.3071,3,34,0,29,5,19,88749.0,344,1240.0
170,2019,35.6928,138.687,35.6928,138.687,0,16,13,3,0,5,50249.0,469,881.0
171,2019,44.6486,-63.5859,47.6592,9.17507,11,42,2,9,31,20,43596.0,333,875.0
172,2019,41.1265,-73.714,42.4866,-72.1893,2,26,2,18,6,18,75177.0,516,947.0
173,2019,50.6089,10.3846,37.4443,-122.16,5,11,0,10,1,14,46802.0,509,947.0
174,2019,32.8191,34.9984,32.8191,34.9984,4,5,0,5,0,17,42826.0,335,875.0
175,2019,35.6928,138.687,35.6928,138.687,0,16,12,2,2,16,77780.0,747,797.0
176,2019,37.3541,-121.955,33.3062,-111.841,5,28,1,24,3,16,219270.0,522,907.0
177,2019,37.3362,-121.891,61.2163,-149.895,2,9,0,7,2,18,56734.0,991,988.0
178,2019,37.779,-122.42,40.4417,-79.9901,20,9,0,5,4,20,82312.0,732,995.0
179,2019,34.9791,138.383,34.9791,138.383,0,32,7,5,20,16,46862.0,848,996.0
180,2019,32.8326,-117.272,32.8326,-117.272,2,36,3,23,10,21,39230.0,554,900.0
181,2019,32.1861,34.8676,32.1861,34.8676,4,42,2,34,6,20,40510.0,923,1252.0
182,2019,37.3894,-122.083,31.15,-81.4915,11,14,0,10,4,20,46580.0,1227,1034.0
183,2019,47.6694,-122.124,47.6694,-122.124,2,24,1,15,8,20,81156.0,477,947.0
184,2019,37.779,-122.42,37.779,-122.42,12,4,0,3,1,19,42601.0,671,1346.0
185,2019,40.2982,-111.694,40.2982,-111.694,3,3,0,3,0,20,102276.0,707,900.0
186,2019,39.6482,-104.988,38.8051,-77.047,3,5,0,3,2,20,51721.0,221,898.0
187,2019,37.3362,-121.891,39.146,-77.4119,2,14,1,11,2,17,43219.0,1020,988.0
188,2019,49.5978,11.0038,40.3173,-74.6199,1,69,6,45,18,30,60114.0,361,875.0
189,2019,37.3894,-122.083,47.3745,8.54104,8,10,0,8,2,20,83766.0,838,996.0
190,2019,47.6038,-122.33,47.918,-122.09,1,93,0,60,33,20,119654.0,930,996.0
191,2019,37.779,-122.42,37.779,-122.42,12,6,0,5,1,26,27159.0,426,1240.0
192,2019,47.6694,-122.124,47.6144,-122.192,7,3,0,1,2,20,52227.0,1591,1227.0
193,2019,38.9343,-77.1776,38.8904,-77.0842,11,9,0,8,1,20,75193.0,223,1043.0
194,2019,38.9343,-77.1776,38.9343,-77.1776,8,5,0,4,1,14,50733.0,167,867.0
195,2019,38.9343,-77.1776,38.895,-77.0365,6,13,0,11,2,20,77088.0,162,898.0
196,2019,38.9343,-77.1776,37.4863,-122.233,3,11,0,9,2,18,42677.0,994,988.0
197,2019,47.6038,-122.33,16.1983,77.3527,2,2,0,2,0,20,57271.0,533,702.0
198,2019,34.0195,-118.491,34.0195,-118.491,2,183,15,81,87,20,91242.0,351,867.0
199,2019,47.6038,-122.33,47.6038,-122.33,4,17,0,11,6,20,71329.0,872,996.0
200,2019,41.1265,-73.714,37.3362,-121.891,0,14,0,0,14,20,51803.0,1247,1034.0
201,2019,41.1265,-73.714,30.5217,-97.8278,0,46,2,25,19,9,12567.0,508,947.0
202,2019,41.1265,-73.714,52.2055,0.118664,0,23,1,10,12,8,43615.0,1139,996.0
203,2019,41.8756,-87.6244,47.6038,-122.33,1,34,1,14,19,31,150374.0,1370,1291.0
204,2019,39.9062,116.391,39.9062,116.391,10,19,0,16,3,15,31464.0,1620,941.0
205,2019,37.3791,-122.117,37.3791,-122.117,22,11,0,10,1,28,95638.0,963,988.0
206,2019,37.3541,-121.955,30.2711,-97.7437,1,6,0,2,4,20,20778.0,742,801.0
207,2019,40.015,-105.271,39.9528,-105.169,12,11,0,8,3,20,43882.0,351,873.0
208,2019,39.1399,-77.1929,38.895,-77.0365,2,35,3,14,18,25,83160.0,278,991.0
209,2019,35.7883,-78.7812,35.7325,-78.8505,14,0,0,0,0,30,91186.0,251,875.0
210,2019,47.6038,-122.33,47.6144,-122.192,11,2,0,2,0,30,108561.0,546,1346.0
211,2019,53.3498,-6.26027,37.3362,-121.891,21,4,0,3,1,20,72309.0,741,1346.0
212,2019,38.9343,-77.1776,33.1507,-96.8236,8,11,0,11,0,20,70303.0,313,894.0
213,2019,42.3223,-83.1763,37.3688,-122.036,4,39,2,22,15,16,39225.0,923,843.0
214,2019,37.452,-122.178,37.3229,-122.032,6,14,0,12,2,20,53204.0,207,898.0
215,2019,51.4393,5.47863,41.8012,-88.0748,0,12,2,4,6,20,97475.0,281,988.0
216,2019,39.1399,-77.1929,38.895,-77.0365,3,34,3,13,18,20,83169.0,917,1137.0
217,2019,39.7459,-75.5466,47.6144,-122.192,7,183,14,92,77,24,71214.0,799,947.0
218,2019,42.5048,-71.1956,45.314,-73.8758,4,52,0,42,10,20,23156.0,2337,1106.0
219,2019,49.5978,11.0038,40.3173,-74.6199,9,7,0,7,0,20,62391.0,735,1127.0
220,2019,35.6828,139.759,35.6828,139.759,0,6,0,6,0,11,134317.0,1425,1291.0
221,2019,40.4798,-88.9939,40.5093,-88.9844,11,9,0,6,3,16,57313.0,869,1252.0
222,2019,41.1265,-73.714,33.0203,-117.203,3,96,0,73,23,44,129063.0,1061,940.0
223,2019,47.6038,-122.33,42.4154,-71.1564,0,10,0,3,7,20,48650.0,372,848.0
224,2019,40.4798,-88.9939,37.779,-122.42,11,21,0,7,14,33,55138.0,651,831.0
225,2019,37.3362,-121.891,37.3362,-121.891,7,1006,38,754,214,21,112345.0,847,1001.0
226,2019,35.6928,138.687,35.6928,138.687,0,15,14,0,1,6,31841.0,957,1137.0
